dob,external_id,images,name_full_latin,name_full_local,name_given_latin,name_given_local,nationality,person_id,team_name,entity_id,fixture_id
2001-12-24,28984,"[{'added': '2025-08-12T06:36:29', 'baseId': '0b8d9fff-7116-11f0-855d-b3abb2c3f080', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': 'addcdb38-7746-11f0-ac05-a3be623388b4', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:15:29', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/fc65b95357e24ddb8fad69198e52272e'}, {'added': '2025-08-12T06:36:37', 'baseId': '0b8d9fff-7116-11f0-855d-b3abb2c3f080', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': 'b2529c81-7746-11f0-9eca-81509b47a52f', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'secondaryType': None, 'updated': '2025-08-12T06:36:37', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/7463e8cae6204203b94824954eb8ccf7'}]","",Blær Hinriksson,"",Blær,ISL,0b8d9fff-7116-11f0-855d-b3abb2c3f080,SC DHfK Leipzig,feace61d-3952-11ef-ae23-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
2005-01-20,28114,"[{'added': '2025-08-14T12:45:34', 'baseId': '0ec51bb7-3956-11ef-a089-63392ed267d4', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '91ebd775-790c-11f0-8f0c-25b4bbed59bf', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T13:06:28', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/1d187920ee3547ab8fd5607f16762c52'}, {'added': '2025-08-14T12:45:35', 'baseId': '0ec51bb7-3956-11ef-a089-63392ed267d4', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '92d62471-790c-11f0-9d93-15a7f43a1ab1', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T13:06:25', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/fa3acab84b1f4e9d9631f14099cf5139'}]",Bastian Freitag,Bastian Freitag,Bastian,Bastian,DEU,0ec51bb7-3956-11ef-a089-63392ed267d4,ThSV Eisenach,fef51771-3952-11ef-97b4-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
2003-07-04,28574,"[{'added': '2024-08-19T06:19:37', 'baseId': '10fa9304-44eb-11ef-92b3-eb9bda022593', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '02b2ca28-5df3-11ef-85fa-b1e52c54ea6f', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-12T06:36:51', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/40363ea966ca4eb1bec76ea84df4c312'}, {'added': '2024-08-19T06:21:18', 'baseId': '10fa9304-44eb-11ef-92b3-eb9bda022593', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '3f1dc0f3-5df3-11ef-afc6-e75cc0ad7e3e', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:15:37', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/3e1a21ad2cd247bb8c4541346be3f3ef'}]",Luka Rogan,Luka Rogan,Luka,Luka,SRB,10fa9304-44eb-11ef-92b3-eb9bda022593,SC DHfK Leipzig,feace61d-3952-11ef-ae23-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
1996-04-03,28271,"[{'added': '2024-08-09T13:14:17', 'baseId': '197bed20-3956-11ef-a6d2-1fafd93a56d6', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '485a35c9-5651-11ef-ab07-057dcd597e0f', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:45:43', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/9d08da105a184ccbaaf7819da07c9c8f'}, {'added': '2024-08-09T13:33:13', 'baseId': '197bed20-3956-11ef-a6d2-1fafd93a56d6', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': 'ed2e5c31-5653-11ef-95c8-659cb2ead55e', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:45:42', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/31bc8d46a5aa49b38f5bc5fa4ecbfc01'}]",Matija Spikic,Matija Spikic,Matija,Matija,HRV,197bed20-3956-11ef-a6d2-1fafd93a56d6,ThSV Eisenach,fef51771-3952-11ef-97b4-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
2003-05-27,17952,"[{'added': '2024-08-09T09:56:52', 'baseId': '387a20e2-3955-11ef-a472-bfbfc9e17c09', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': 'b416616a-5635-11ef-b8a3-71740333da89', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-10-13T10:46:36', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/fbed7d61db1945a0a3fbc058bef53507'}, {'added': '2024-08-09T09:58:32', 'baseId': '387a20e2-3955-11ef-a472-bfbfc9e17c09', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': 'ef5e8970-5635-11ef-a917-6da5aba7b702', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-10-13T12:11:43', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/d25917e1167247dd9a52e3668dc8e974'}]",Max Beneke,Max Beneke,Max,Max,DEU,387a20e2-3955-11ef-a472-bfbfc9e17c09,ThSV Eisenach,fef51771-3952-11ef-97b4-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
1984-10-21,23,"[{'added': '2024-08-09T13:13:26', 'baseId': '43ebefd2-3953-11ef-b00f-855e48b08f9c', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '29afe7ae-5651-11ef-8841-b50c45475ba4', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:45:51', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/8ff86e8733e2427d84e1b6361131cf82'}, {'added': '2024-08-09T13:32:03', 'baseId': '43ebefd2-3953-11ef-b00f-855e48b08f9c', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': 'c3b78b01-5653-11ef-8c82-999b27b612e1', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:45:49', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/fd7f9c239df14e2c9c9080df33da4555'}]",Silvio Heinevetter,Silvio Heinevetter,Silvio,Silvio,DEU,43ebefd2-3953-11ef-b00f-855e48b08f9c,ThSV Eisenach,fef51771-3952-11ef-97b4-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
1995-10-06,73,"[{'added': '2024-08-09T13:14:06', 'baseId': '44cf46f0-3953-11ef-b431-855e48b08f9c', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '4153f789-5651-11ef-ad28-235376e6d4d1', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:46:05', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/fa9dfa95a4c74c78b1b76993f4e0daa0'}, {'added': '2024-08-09T13:32:42', 'baseId': '44cf46f0-3953-11ef-b431-855e48b08f9c', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': 'db17948c-5653-11ef-8602-fda7dfd285cd', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:46:00', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/48b54d5f325f40d2bc3a3fb0700f730f'}]",Alexander Saul,Alexander Saul,Alexander,Alexander,DEU,44cf46f0-3953-11ef-b431-855e48b08f9c,ThSV Eisenach,fef51771-3952-11ef-97b4-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
1989-01-20,147,"[{'added': '2024-08-09T13:42:54', 'baseId': '461f153c-3953-11ef-bda0-855e48b08f9c', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '47e0879a-5655-11ef-84eb-ff41c822f77d', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-12T06:37:35', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/3e3ddc19554745379664602924c62735'}, {'added': '2024-08-09T13:45:20', 'baseId': '461f153c-3953-11ef-bda0-855e48b08f9c', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '9e4cd721-5655-11ef-b00e-cffa046e1cf5', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:15:53', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/9a84ebd1dbe1442d9169a6b365f415ec'}]",Tomas Mrkva,Tomas Mrkva,Tomas,Tomas,CZE,461f153c-3953-11ef-bda0-855e48b08f9c,SC DHfK Leipzig,feace61d-3952-11ef-ae23-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
2006-07-25,28814,"[{'added': '2025-03-07T15:29:51', 'baseId': '4b0dc5ed-a2ac-11ef-a681-87c719fdf68e', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '03663690-fb69-11ef-ad62-e7175a15a67f', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:16:28', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/b7108d5a371044238b550b5383f03238'}, {'added': '2025-03-07T15:29:55', 'baseId': '4b0dc5ed-a2ac-11ef-a681-87c719fdf68e', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '059d2964-fb69-11ef-bc10-e7175a15a67f', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-12T06:37:45', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/112d4ca6305a4c35813b007aca372de4'}]",Tom Koschek,Tom Koschek,Tom,Tom,DEU,4b0dc5ed-a2ac-11ef-a681-87c719fdf68e,SC DHfK Leipzig,feace61d-3952-11ef-ae23-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
1994-01-14,267,"[{'added': '2024-08-19T06:21:03', 'baseId': '50226363-3953-11ef-9cb0-a9530db97767', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': '3633a87c-5df3-11ef-b752-9f2a854f3c55', 'imageType': 'PERSON_HEAD', 'maximumHeight': 1024, 'maximumWidth': 1024, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-14T12:16:34', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/dc27578f6bcc4c4aac0aa9c18b282bab'}, {'added': '2024-08-19T06:19:15', 'baseId': '50226363-3953-11ef-9cb0-a9530db97767', 'baseType': 'PERSON', 'fileType': 'PNG', 'imageId': 'f5b5dd94-5df2-11ef-9156-570b6b2fbcbd', 'imageType': 'PERSON_WAIST', 'maximumHeight': 1000, 'maximumWidth': 750, 'organization': {'id': 'h1s44', 'resourceType': 'organizations'}, 'organizationId': 'h1s44', 'rating': 'MEDIUM', 'secondaryType': None, 'updated': '2025-08-12T06:37:54', 'url': 'https://images.dc.prod.cloud.atriumsports.com/h1s44/af14e72497bc43778a04c6c159537cb1'}]",Lucas Krzikalla,Lucas Krzikalla,Lucas,Lucas,DEU,50226363-3953-11ef-9cb0-a9530db97767,SC DHfK Leipzig,feace61d-3952-11ef-ae23-af5c55c3771d,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13
