ts in ms,formatted local time,sensor id,mapped id,number,full name,league id,group id,group name,x in m,y in m,speed in m/s,direction of movement in deg,acceleration in m/s2,total distance in m,metabolic power in W/kg,acceleration load,Unnamed: 17,session_id,fixtureId
1756313699550,27.08.2025 18:54:59.550,378282,381,99,Ball1 Ball,HannBall1,3,Ball,,,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699600,27.08.2025 18:54:59.600,43590,1573,5,Tilen Kodrin,1290976,2,VfL Gummersbach,,,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699600,27.08.2025 18:54:59.600,43398,1562,8,Lukas Blohme,345523,2,VfL Gummersbach,,,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699600,27.08.2025 18:54:59.600,378282,381,99,Ball1 Ball,HannBall1,3,Ball,19.832,18.154,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699600,27.08.2025 18:54:59.600,43599,1567,7,Julian Köster,1554855,2,VfL Gummersbach,,,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699600,27.08.2025 18:54:59.600,43352,1962,14,Teitur Örn Einarsson,1397299,2,VfL Gummersbach,,,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699600,27.08.2025 18:54:59.600,48336,1963,1,Dominik Kuzmanović,2147794,2,VfL Gummersbach,,,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699600,27.08.2025 18:54:59.600,43374,1566,4,Ellidi Snaer Vidarsson,1341914,2,VfL Gummersbach,,,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699600,27.08.2025 18:54:59.600,45916,2291,31,Kay Smits,1028401,2,VfL Gummersbach,,,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699650,27.08.2025 18:54:59.650,43590,1573,5,Tilen Kodrin,1290976,2,VfL Gummersbach,,,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699650,27.08.2025 18:54:59.650,43398,1562,8,Lukas Blohme,345523,2,VfL Gummersbach,,,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699650,27.08.2025 18:54:59.650,378282,381,99,Ball1 Ball,HannBall1,3,Ball,19.83,18.108,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699650,27.08.2025 18:54:59.650,43599,1567,7,Julian Köster,1554855,2,VfL Gummersbach,,,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699650,27.08.2025 18:54:59.650,43352,1962,14,Teitur Örn Einarsson,1397299,2,VfL Gummersbach,,,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699650,27.08.2025 18:54:59.650,48336,1963,1,Dominik Kuzmanović,2147794,2,VfL Gummersbach,,,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699650,27.08.2025 18:54:59.650,43374,1566,4,Ellidi Snaer Vidarsson,1341914,2,VfL Gummersbach,,,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699650,27.08.2025 18:54:59.650,45916,2291,31,Kay Smits,1028401,2,VfL Gummersbach,,,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699700,27.08.2025 18:54:59.700,43590,1573,5,Tilen Kodrin,1290976,2,VfL Gummersbach,,,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699700,27.08.2025 18:54:59.700,43398,1562,8,Lukas Blohme,345523,2,VfL Gummersbach,,,,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
1756313699700,27.08.2025 18:54:59.700,378282,381,99,Ball1 Ball,HannBall1,3,Ball,19.772,18.127,0.357,,,0.0,,,,3023.0,ccb6fb61-5ca5-11f0-b602-991bd49151a6
