ts in ms,formatted local time,sensor id,mapped id,number,full name,league id,group id,group name,x in m,y in m,speed in m/s,direction of movement in deg,acceleration in m/s2,total distance in m,metabolic power in W/kg,acceleration load,Unnamed: 17,session_id,fixtureId,event_id,fixture_id
1756578812600,30.08.2025 20:33:32.600,43156,1972,50,Lion Zacharias,2149986,1,HSG Wetzlar,0.822,0.451,2.425,5.17,3.363,1784.596,31.804,3.043,,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,d6abe781-85cf-11f0-bb93-2969996d09e2,d41e6dd8-5ca5-11f0-a092-dfdc3d404345
1756578812600,30.08.2025 20:33:32.600,43181,2255,23,Kent Robin Tønnesen,356234,2,SG Flensburg-Handewitt,6.1,7.232,1.949,119.796,0.056,1321.249,7.41,5.063,,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,d6abe781-85cf-11f0-bb93-2969996d09e2,d41e6dd8-5ca5-11f0-a092-dfdc3d404345
1756578812600,30.08.2025 20:33:32.600,43173,214,4,Johannes Golla,876390,2,SG Flensburg-Handewitt,6.288,8.072,0.637,-156.401,-1.118,3940.588,1.297,4.92,,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,d6abe781-85cf-11f0-bb93-2969996d09e2,d41e6dd8-5ca5-11f0-a092-dfdc3d404345
1756578812600,30.08.2025 20:33:32.600,43144,39,12,Anadin Suljakovic,1838192,1,HSG Wetzlar,34.021,9.66,0.898,-166.791,-0.078,2100.246,3.225,0.657,,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,d6abe781-85cf-11f0-bb93-2969996d09e2,d41e6dd8-5ca5-11f0-a092-dfdc3d404345
1756578812600,30.08.2025 20:33:32.600,43187,1810,27,Aksel Horgen,1611730,2,SG Flensburg-Handewitt,5.996,4.313,2.262,29.665,2.463,652.071,22.812,2.641,,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,d6abe781-85cf-11f0-bb93-2969996d09e2,d41e6dd8-5ca5-11f0-a092-dfdc3d404345
1756578812600,30.08.2025 20:33:32.600,43148,2262,20,David Cyrill Akakpo,1339456,1,HSG Wetzlar,1.146,19.54,1.322,-25.466,1.445,3592.921,10.7,1.576,,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,d6abe781-85cf-11f0-bb93-2969996d09e2,d41e6dd8-5ca5-11f0-a092-dfdc3d404345
1756578812600,30.08.2025 20:33:32.600,43134,2266,4,Filip Vistorop,1339252,1,HSG Wetzlar,6.711,7.193,1.51,-122.265,-1.419,2179.315,2.669,3.315,,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,d6abe781-85cf-11f0-bb93-2969996d09e2,d41e6dd8-5ca5-11f0-a092-dfdc3d404345
1756578812600,30.08.2025 20:33:32.600,43170,207,1,Benjamin Burić,1028491,2,SG Flensburg-Handewitt,0.872,9.735,0.362,144.052,0.102,350.982,1.38,3.132,,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,d6abe781-85cf-11f0-bb93-2969996d09e2,d41e6dd8-5ca5-11f0-a092-dfdc3d404345
1756578812600,30.08.2025 20:33:32.600,43172,1833,2,Simon  Pytlick,1560268,2,SG Flensburg-Handewitt,7.567,13.137,0.62,-63.02,-0.363,1586.047,1.859,1.352,,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,d6abe781-85cf-11f0-bb93-2969996d09e2,d41e6dd8-5ca5-11f0-a092-dfdc3d404345
1756578812600,30.08.2025 20:33:32.600,381443,370,99,Ball2 Ball,WetzBall2,3,Ball,6.979,7.81,12.566,159.066,164.728,10383.472,,,,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,d6abe781-85cf-11f0-bb93-2969996d09e2,d41e6dd8-5ca5-11f0-a092-dfdc3d404345
1756578812600,30.08.2025 20:33:32.600,43196,1811,43,Blaž Blagotinšek,797318,2,SG Flensburg-Handewitt,6.955,8.643,2.316,-137.997,-1.653,1941.81,4.45,3.604,,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,d6abe781-85cf-11f0-bb93-2969996d09e2,d41e6dd8-5ca5-11f0-a092-dfdc3d404345
1756578812600,30.08.2025 20:33:32.600,43146,1978,19,Philipp Ahouansou,1724488,1,HSG Wetzlar,7.243,7.123,2.539,177.591,,3473.208,,7.229,,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,d6abe781-85cf-11f0-bb93-2969996d09e2,d41e6dd8-5ca5-11f0-a092-dfdc3d404345
