class,event_id,event_time,event_type,sub_type,attendance,entity_id,person_id,bib,name,position,scores,period_id,play_id,clock,success,x,y,attack_type,goalkeeper_id,location,failure_reason,empty_net,session_id,fixture_id,team_name,person_name,goalkeeper_name,scores_home,scores_away,event_time_ms,goalkeeper_league_id,person_league_id,kinexon_match_index,time_diff_ms,kin_timezone_id,kin_game_clock,kin_period,kin_player_id,kin_distance,kin_speed_ball,kin_trajectory,kin_shot_position_x,kin_shot_position_y,kin_hit_position_y,kin_hit_position_z,kin_success,kin_shot_category,kin_goalkeeper_id,kin_shot_type,kin_assisting_player_id,kin_validated,kin_id,kin_event_type,kin_league_id,kin_session_id,kin_fixture_id,goal_position,fixtureId,eventId,seed_ts,seed_ms,eventTime,eventTime_ms,kin_timestamp,kin_timestamp_ms,refined_throw_ts,refined_throw_ts_ms,refined_delta_vs_event_ms,refined_delta_vs_seed_ms,method,n_rows_window,last_possession_idx,matched,match_mode
sport,e10a8cc1-85c2-11f0-bb93-2969996d09e2,2025-08-30 19:00:49.46+02,goal,nineMetre,,fe88f93b-3952-11ef-aa5d-af5c55c3771d,e8441717-3954-11ef-9c0f-0119270b4993,,,,"{'fe73c376-3952-11ef-8a18-af5c55c3771d': 0, 'fe88f93b-3952-11ef-aa5d-af5c55c3771d': 1}",1.0,e10a8cc0-85c2-11f0-bb93-2969996d09e2,PT0M49S,true,74.74,67.16,,cf5eb544-3954-11ef-bde2-0d6c0b831129,CENTRE,,,3037,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,SG Flensburg-Handewitt,Lasse Møller,Anadin Suljakovic,,,1756573249460,1838192,1397085,0,-3004.0,385,0:49,"",827,9.83843,29.916115,"-10.89,-3.71;-10.89,-3.71",-10.889079,-3.7129278,1.1936136,0.44358817,1,field,39,1,2020,2127884235,20469123,detected_shot_handball,1397085,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,e10a8cc1-85c2-11f0-bb93-2969996d09e2,2025-08-30 19:00:46.456+02,1756573246456,2025-08-30 19:00:49.46+02,1756573249460,2025-08-30 19:00:46.456+02,1756573246456,2025-08-30 19:00:46.45+02,1756573246450,-3010,-6,max_acc_in_possession_windows,4650,299,true,player+time
sport,fe611411-85c2-11f0-bb93-2969996d09e2,2025-08-30 19:01:38.681+02,goal,nineMetre,,fe73c376-3952-11ef-8a18-af5c55c3771d,5b69d1e9-3953-11ef-99fa-a9530db97767,,,,"{'fe73c376-3952-11ef-8a18-af5c55c3771d': 0, 'fe88f93b-3952-11ef-aa5d-af5c55c3771d': 1}",1.0,fe611410-85c2-11f0-bb93-2969996d09e2,PT1M35S,false,25.17,38.01,,454487a1-3953-11ef-b79a-855e48b08f9c,CENTRE,SHOT_BLOCKED,,3037,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,HSG Wetzlar,Dominik Mappes,Kevin Møller,,,1756573298681,592178,869960,0,-6083.0,385,1:35,"",1974,8.8525095,21.033844,"11.18,0.76;11.18,0.76",11.180023,0.7582388,4.464246,3.5255533e-05,0,field,1104,4,25,2127885039,20469292,detected_shot_handball,869960,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,40,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,fe611411-85c2-11f0-bb93-2969996d09e2,2025-08-30 19:01:32.598+02,1756573292598,2025-08-30 19:01:38.681+02,1756573298681,2025-08-30 19:01:32.598+02,1756573292598,2025-08-30 19:01:32.6+02,1756573292600,-6081,2,max_acc_in_possession_windows,4650,300,true,player+time
sport,060938f1-85c3-11f0-bb93-2969996d09e2,2025-08-30 19:01:51.527+02,goal,sixMetre,,fe73c376-3952-11ef-8a18-af5c55c3771d,5b69d1e9-3953-11ef-99fa-a9530db97767,,,,"{'fe73c376-3952-11ef-8a18-af5c55c3771d': 0, 'fe88f93b-3952-11ef-aa5d-af5c55c3771d': 1}",1.0,060938f0-85c3-11f0-bb93-2969996d09e2,PT1M47S,false,23.86,35.24,,454487a1-3953-11ef-b79a-855e48b08f9c,CENTRE,SAVE,,3037,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,HSG Wetzlar,Dominik Mappes,Kevin Møller,,,1756573311527,592178,869960,2,1473.0,385,1:47,,1974,,,"",,,0.01,1.0,0,field,,0,,2127885209,20481503,detected_shot_handball,869960,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,40,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,060938f1-85c3-11f0-bb93-2969996d09e2,2025-08-30 19:01:53+02,1756573313000,2025-08-30 19:01:51.527+02,1756573311527,2025-08-30 19:01:53+02,1756573313000,2025-08-30 19:01:48.45+02,1756573308450,-3077,-4550,max_acc_in_possession_windows,4665,209,true,player+time
sport,179f05e1-85c3-11f0-bb93-2969996d09e2,2025-08-30 19:02:21.03+02,goal,sixMetre,,fe88f93b-3952-11ef-aa5d-af5c55c3771d,51142c5c-3953-11ef-8fa6-a9530db97767,,,,"{'fe73c376-3952-11ef-8a18-af5c55c3771d': 0, 'fe88f93b-3952-11ef-aa5d-af5c55c3771d': 1}",1.0,179f05e0-85c3-11f0-bb93-2969996d09e2,PT2M17S,false,78.93,42.25,PIVOT,cf5eb544-3954-11ef-bde2-0d6c0b831129,CENTRE,POST,,3037,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,SG Flensburg-Handewitt,Johannes Golla,Anadin Suljakovic,,,1756573341030,1838192,876390,1,1970.0,385,2:17,,214,,,"",,,0.01,1.0,0,field,,3,,2127885699,20481504,detected_shot_handball,876390,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,179f05e1-85c3-11f0-bb93-2969996d09e2,2025-08-30 19:02:23+02,1756573343000,2025-08-30 19:02:21.03+02,1756573341030,2025-08-30 19:02:23+02,1756573343000,2025-08-30 19:02:18.5+02,1756573338500,-2530,-4500,max_acc_in_possession_windows,4672,231,true,player+time
sport,1cd42ef0-85c3-11f0-bb93-2969996d09e2,2025-08-30 19:02:29.766+02,goal,sixMetre,,fe73c376-3952-11ef-8a18-af5c55c3771d,43c89332-3953-11ef-9961-855e48b08f9c,,,,"{'fe73c376-3952-11ef-8a18-af5c55c3771d': 1, 'fe88f93b-3952-11ef-aa5d-af5c55c3771d': 1}",1.0,1cd407e0-85c3-11f0-bb93-2969996d09e2,PT2M30S,true,18.44,22.88,,454487a1-3953-11ef-b79a-855e48b08f9c,RIGHT,,,3037,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,HSG Wetzlar,Stefan Cavor,Kevin Møller,,,1756573349766,592178,887176,0,-1974.0,385,2:30,"",25,5.7011366,23.808924,"14.81,2.36;14.81,2.36",14.808205,2.3554657,0.6047692,0.12743378,1,field,1104,1,1974,2127885805,20469512,detected_shot_handball,887176,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,40,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,1cd42ef0-85c3-11f0-bb93-2969996d09e2,2025-08-30 19:02:27.792+02,1756573347792,2025-08-30 19:02:29.766+02,1756573349766,2025-08-30 19:02:27.792+02,1756573347792,2025-08-30 19:02:27.8+02,1756573347800,-1966,8,max_acc_in_possession_windows,4675,300,true,player+time
sport,35d2a6c1-85c3-11f0-bb93-2969996d09e2,2025-08-30 19:03:15.431+02,goal,backCourt,,fe88f93b-3952-11ef-aa5d-af5c55c3771d,ffbf8979-3954-11ef-99ec-0d6c0b831129,,,,"{'fe73c376-3952-11ef-8a18-af5c55c3771d': 1, 'fe88f93b-3952-11ef-aa5d-af5c55c3771d': 2}",1.0,35d2a6c0-85c3-11f0-bb93-2969996d09e2,PT3M13S,true,87.94,13.1,,cf5eb544-3954-11ef-bde2-0d6c0b831129,,,,3037,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,SG Flensburg-Handewitt,Emil Jakobsen,Anadin Suljakovic,,,1756573395431,1838192,1637708,0,-5997.0,385,3:13,"",1106,5.7221007,13.132406,"-17.54,5.17;-17.54,5.17",-17.538624,5.165662,0.46914485,0.08332359,1,field,39,1,1106,2127886517,20469637,detected_shot_handball,1637708,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,35d2a6c1-85c3-11f0-bb93-2969996d09e2,2025-08-30 19:03:09.434+02,1756573389434,2025-08-30 19:03:15.431+02,1756573395431,2025-08-30 19:03:09.434+02,1756573389434,2025-08-30 19:03:09.45+02,1756573389450,-5981,16,max_acc_in_possession_windows,4650,301,true,player+time
sport,589879f1-85c3-11f0-bb93-2969996d09e2,2025-08-30 19:04:10.039+02,goal,nineMetre,,fe73c376-3952-11ef-8a18-af5c55c3771d,c448e9b5-3954-11ef-b9e5-791010fc8985,,,,"{'fe73c376-3952-11ef-8a18-af5c55c3771d': 1, 'fe88f93b-3952-11ef-aa5d-af5c55c3771d': 2}",1.0,589879f0-85c3-11f0-bb93-2969996d09e2,PT4M6S,false,25.79,40.96,,454487a1-3953-11ef-b79a-855e48b08f9c,CENTRE,OFF_TARGET,,3037,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,HSG Wetzlar,Philipp Ahouansou,Kevin Møller,,,1756573450039,592178,1724488,0,-2854.0,385,4:09,"",1978,8.37744,31.234474,"11.74,1.38;11.74,1.38",11.737369,1.3821793,1.0562456,2.5388217,0,field,1104,0,1974,0,20469791,detected_shot_handball,1724488,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,40,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,589879f1-85c3-11f0-bb93-2969996d09e2,2025-08-30 19:04:07.185+02,1756573447185,2025-08-30 19:04:10.039+02,1756573450039,2025-08-30 19:04:07.185+02,1756573447185,2025-08-30 19:04:07.2+02,1756573447200,-2839,15,max_acc_in_possession_windows,4650,300,true,player+time
sport,5e609431-85c3-11f0-bb93-2969996d09e2,2025-08-30 19:04:23.337+02,goal,sixMetre,,fe88f93b-3952-11ef-aa5d-af5c55c3771d,ffbf8979-3954-11ef-99ec-0d6c0b831129,,,,"{'fe73c376-3952-11ef-8a18-af5c55c3771d': 1, 'fe88f93b-3952-11ef-aa5d-af5c55c3771d': 3}",1.0,5e609430-85c3-11f0-bb93-2969996d09e2,PT4M23S,true,87.85,13.84,,cf5eb544-3954-11ef-bde2-0d6c0b831129,LEFT,,,3037,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,SG Flensburg-Handewitt,Emil Jakobsen,Anadin Suljakovic,,,1756573463337,1838192,1637708,1,-4973.0,385,4:23,"",1106,5.7849693,27.220243,"-17,4.95;-17,4.95",-17.004177,4.9488297,0.90880865,1.5903296,1,field,39,1,827,2127887697,20469872,detected_shot_handball,1637708,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,5e609431-85c3-11f0-bb93-2969996d09e2,2025-08-30 19:04:18.364+02,1756573458364,2025-08-30 19:04:23.337+02,1756573463337,2025-08-30 19:04:18.364+02,1756573458364,2025-08-30 19:04:18.35+02,1756573458350,-4987,-14,max_acc_in_possession_windows,4699,299,true,player+time
sport,735fa3d1-85c3-11f0-bb93-2969996d09e2,2025-08-30 19:04:54.965+02,goal,sixMetre,,fe73c376-3952-11ef-8a18-af5c55c3771d,cf7c2adf-3954-11ef-91ca-0d6c0b831129,,,,"{'fe73c376-3952-11ef-8a18-af5c55c3771d': 1, 'fe88f93b-3952-11ef-aa5d-af5c55c3771d': 3}",1.0,735fa3d0-85c3-11f0-bb93-2969996d09e2,PT4M51S,false,19.84,52.77,PIVOT,454487a1-3953-11ef-b79a-855e48b08f9c,CENTRE,SAVE,,3037,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,HSG Wetzlar,Josip Simic,Kevin Møller,,,1756573494965,592178,1853680,0,-1930.0,385,4:55,"",2261,5.3678164,22.413855,"14.67,-0.65;14.67,-0.65",14.671558,-0.64896965,1.2326801,0.75976324,0,field,1104,0,1978,0,20469966,detected_shot_handball,1853680,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,40,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,735fa3d1-85c3-11f0-bb93-2969996d09e2,2025-08-30 19:04:53.035+02,1756573493035,2025-08-30 19:04:54.965+02,1756573494965,2025-08-30 19:04:53.035+02,1756573493035,2025-08-30 19:04:53+02,1756573493000,-1965,-35,max_acc_in_possession_windows,4650,300,true,player+time
sport,8d990ca1-85c3-11f0-bb93-2969996d09e2,2025-08-30 19:05:43.109+02,goal,wing,,fe73c376-3952-11ef-8a18-af5c55c3771d,a13ca197-3954-11ef-87fc-85d73a57ae73,,,,"{'fe73c376-3952-11ef-8a18-af5c55c3771d': 2, 'fe88f93b-3952-11ef-aa5d-af5c55c3771d': 3}",1.0,8d990ca0-85c3-11f0-bb93-2969996d09e2,PT5M42S,true,11.28,12.55,,454487a1-3953-11ef-b79a-855e48b08f9c,RIGHT,,,3037,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,HSG Wetzlar,David Cyrill Akakpo,Kevin Møller,,,1756573543109,592178,1339456,0,-5476.0,385,5:42,"",2262,5.6843114,26.31395,"17.28,4.99;17.28,4.99",17.27504,4.9885855,-0.42479372,1.5995734,1,field,1104,1,25,2127889045,20470158,detected_shot_handball,1339456,3037.0,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,40,d41e6dd8-5ca5-11f0-a092-dfdc3d404345,8d990ca1-85c3-11f0-bb93-2969996d09e2,2025-08-30 19:05:37.633+02,1756573537633,2025-08-30 19:05:43.109+02,1756573543109,2025-08-30 19:05:37.633+02,1756573537633,2025-08-30 19:05:37.65+02,1756573537650,-5459,17,max_acc_in_possession_windows,4650,300,true,player+time
