class,event_id,event_time,event_type,sub_type,attendance,entity_id,person_id,bib,name,position,scores,period_id,play_id,clock,success,x,y,attack_type,goalkeeper_id,location,failure_reason,empty_net,session_id,fixture_id,team_name,person_name,goalkeeper_name,scores_home,scores_away,event_time_ms,goalkeeper_league_id,person_league_id,kinexon_match_index,time_diff_ms,kin_timestamp,kin_timestamp_ms,kin_timezone_id,kin_game_clock,kin_period,kin_player_id,kin_distance,kin_speed_ball,kin_trajectory,kin_shot_position_x,kin_shot_position_y,kin_hit_position_y,kin_hit_position_z,kin_success,kin_shot_category,kin_goalkeeper_id,kin_shot_type,kin_assisting_player_id,kin_validated,kin_id,kin_event_type,kin_league_id,kin_session_id,kin_fixture_id,matched,match_mode
sport,1dd83ad0-85aa-11f0-be77-479e0b222c68,2025-08-30 16:02:52.714+02,goal,sevenMetrePenalty,,feace61d-3952-11ef-ae23-af5c55c3771d,0b8d9fff-7116-11f0-855d-b3abb2c3f080,,,,"{'feace61d-3952-11ef-ae23-af5c55c3771d': 1, 'fef51771-3952-11ef-97b4-af5c55c3771d': 0}",1.0,fdcd41e0-85a9-11f0-be77-479e0b222c68,PT2M19S,true,78.85,72.88,,197bed20-3956-11ef-a6d2-1fafd93a56d6,,,,3027,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,SC DHfK Leipzig,Blær Hinriksson,Matija Spikic,,,1756562572714,1869448,2073299,4,-19286.0,2025-08-30 14:02:33,1756562553428,385,2:02,"",2009,6.226664,23.516125,"-15.6,-4.41;-15.6,-4.41",-15.601814,-4.4076424,0.011484146,0.010979868,0,field,1839,,2337,,20289631,detected_shot_handball,1643794,3027.0,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,true,time_only_fallback
sport,35754de1-85aa-11f0-be77-479e0b222c68,2025-08-30 16:04:13.67+02,goal,sixMetre,,feace61d-3952-11ef-ae23-af5c55c3771d,503be211-3953-11ef-8766-a9530db97767,,,,"{'feace61d-3952-11ef-ae23-af5c55c3771d': 1, 'fef51771-3952-11ef-97b4-af5c55c3771d': 0}",1.0,35754de0-85aa-11f0-be77-479e0b222c68,PT3M4S,false,23.16,49.82,,197bed20-3956-11ef-a6d2-1fafd93a56d6,CENTRE,OFF_TARGET,,3027,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,SC DHfK Leipzig,Franz Semper,Matija Spikic,,,1756562653670,1869448,869388,0,-6093.0,2025-08-30 14:04:07,1756562647577,385,2:52,"",1735,8.241896,31.17313,"-11.86,-1.31;-11.86,-1.31",-11.8624,-1.3070211,1.0969478,2.6816847,0,field,1839,,2313,,20289793,detected_shot_handball,869388,3027.0,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,true,player+time
sport,47c51c01-85aa-11f0-be77-479e0b222c68,2025-08-30 16:04:15.642+02,goal,sixMetre,,fef51771-3952-11ef-97b4-af5c55c3771d,59de589a-7111-11f0-b122-5b5b2ef5c7fa,,,,"{'feace61d-3952-11ef-ae23-af5c55c3771d': 1, 'fef51771-3952-11ef-97b4-af5c55c3771d': 1}",1.0,47c51c00-85aa-11f0-be77-479e0b222c68,PT3M34S,true,76.49,36.72,,7497dd59-3954-11ef-89aa-bdf3bafad9bd,CENTRE,,,3027,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,ThSV Eisenach,Felix Aellen,Domenico Ebner,,,1756562655642,1027241,1887206,0,29185.0,2025-08-30 14:04:44,1756562684827,385,3:30,"",2321,8.8264265,29.925283,"11.34,-1.72;11.34,-1.72",11.343739,-1.7248015,-0.67419475,1.2524374,1,field,1738,,2318,,20289886,detected_shot_handball,1887206,3027.0,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,true,player+time
sport,5ecf64f0-85aa-11f0-be77-479e0b222c68,2025-08-30 16:05:05.16+02,goal,sevenMetrePenalty,,feace61d-3952-11ef-ae23-af5c55c3771d,0b8d9fff-7116-11f0-855d-b3abb2c3f080,,,,"{'feace61d-3952-11ef-ae23-af5c55c3771d': 1, 'fef51771-3952-11ef-97b4-af5c55c3771d': 1}",1.0,51ceb080-85aa-11f0-be77-479e0b222c68,PT4M9S,false,76.49,36.72,,197bed20-3956-11ef-a6d2-1fafd93a56d6,,SAVE,,3027,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,SC DHfK Leipzig,Blær Hinriksson,Matija Spikic,,,1756562705160,1869448,2073299,1,18742.0,2025-08-30 14:05:23,1756562723902,385,4:09,"",2315,7.2490134,29.328276,"-12.77,0.52;-12.77,0.52",-12.7694435,0.516963,1.2474525,2.4148705,0,penalty,1839,,0,,20290005,detected_shot_handball,2073299,3027.0,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,true,player+time
sport,729e8011-85aa-11f0-be77-479e0b222c68,2025-08-30 16:05:25.429+02,goal,sixMetre,,fef51771-3952-11ef-97b4-af5c55c3771d,72b0904d-7112-11f0-85e4-bf080c617e35,,,,"{'feace61d-3952-11ef-ae23-af5c55c3771d': 1, 'fef51771-3952-11ef-97b4-af5c55c3771d': 2}",1.0,729e8010-85aa-11f0-be77-479e0b222c68,PT4M46S,true,82.6,25.46,BREAK_THROUGH,7497dd59-3954-11ef-89aa-bdf3bafad9bd,LEFT,,,3027,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,ThSV Eisenach,Oskar Joelsson,Domenico Ebner,,,1756562725429,1027241,1560176,9,-1527.0,2025-08-30 14:05:23,1756562723902,385,4:09,"",2315,7.2490134,29.328276,"-12.77,0.52;-12.77,0.52",-12.7694435,0.516963,1.2474525,2.4148705,0,penalty,1839,,0,,20290005,detected_shot_handball,2073299,3027.0,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,true,time_only_fallback
sport,79970401-85aa-11f0-be77-479e0b222c68,2025-08-30 16:06:07.976+02,goal,sixMetre,,feace61d-3952-11ef-ae23-af5c55c3771d,92f0b4ae-84a7-11f0-945e-7d52e4940a7e,,,,"{'feace61d-3952-11ef-ae23-af5c55c3771d': 1, 'fef51771-3952-11ef-97b4-af5c55c3771d': 2}",1.0,79970400-85aa-11f0-be77-479e0b222c68,PT4M59S,false,21.85,28.78,,197bed20-3956-11ef-a6d2-1fafd93a56d6,RIGHT,SAVE,,3027,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,SC DHfK Leipzig,Ahmed Moustafa Khairi Nasralla,Matija Spikic,,,1756562767976,1869448,2207736,1,473.0,2025-08-30 14:06:08,1756562768449,385,4:53,"",2337,7.486772,23.016293,"-13.87,-4.3;-13.87,-4.3",-13.871822,-4.3008366,-0.036655426,0.007712962,0,field,1839,,1735,,20290180,detected_shot_handball,2207736,3027.0,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,true,player+time
sport,7f3e76e1-85aa-11f0-be77-479e0b222c68,2025-08-30 16:06:07.986+02,goal,sixMetre,,fef51771-3952-11ef-97b4-af5c55c3771d,8a8c7344-3954-11ef-a3f0-a919af319ee5,,,,"{'feace61d-3952-11ef-ae23-af5c55c3771d': 1, 'fef51771-3952-11ef-97b4-af5c55c3771d': 3}",1.0,7f3e76e0-85aa-11f0-be77-479e0b222c68,PT5M1S,true,78.67,47.42,FAST_BREAK,7497dd59-3954-11ef-89aa-bdf3bafad9bd,CENTRE,,,3027,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,ThSV Eisenach,Philipp Meyer,Domenico Ebner,,,1756562767986,1027241,1263576,0,5914.0,2025-08-30 14:06:13,1756562773900,385,4:59,"",1781,6.99476,21.413282,"13.18,1.57;13.18,1.57",13.183617,1.569582,0.848225,0.23931545,1,field,1738,,0,,20290223,detected_shot_handball,1263576,3027.0,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,true,player+time
sport,95a21f91-85aa-11f0-be77-479e0b222c68,2025-08-30 16:06:55.025+02,goal,sixMetre,,feace61d-3952-11ef-ae23-af5c55c3771d,c5c12a5d-3954-11ef-87ae-791010fc8985,,,,"{'feace61d-3952-11ef-ae23-af5c55c3771d': 1, 'fef51771-3952-11ef-97b4-af5c55c3771d': 3}",1.0,95a21f90-85aa-11f0-be77-479e0b222c68,PT5M46S,false,19.93,36.35,,197bed20-3956-11ef-a6d2-1fafd93a56d6,CENTRE,SAVE,,3027,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,SC DHfK Leipzig,Adam Lönn,Matija Spikic,,,1756562815025,1869448,905036,0,-1467.0,2025-08-30 14:06:53,1756562813558,385,5:38,"",2313,7.5444703,21.644733,"-12.81,-2.3;-12.81,-2.3",-12.81314,-2.295228,-0.45261097,0.83706003,0,field,1839,,2337,,20290359,detected_shot_handball,905036,3027.0,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,true,player+time
sport,9b80a801-85aa-11f0-be77-479e0b222c68,2025-08-30 16:06:59.037+02,goal,wing,,fef51771-3952-11ef-97b4-af5c55c3771d,6c9aaf7b-6c37-11ef-aaac-a1111852e8bc,,,,"{'feace61d-3952-11ef-ae23-af5c55c3771d': 1, 'fef51771-3952-11ef-97b4-af5c55c3771d': 4}",1.0,9b80a800-85aa-11f0-be77-479e0b222c68,PT5M52S,true,91.35,88.56,,7497dd59-3954-11ef-89aa-bdf3bafad9bd,RIGHT,,,3027,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,ThSV Eisenach,Gian Attenhofer,Domenico Ebner,,,1756562819037,1027241,2184752,0,7572.0,2025-08-30 14:07:06,1756562826609,385,5:51,"",2064,5.550617,22.371273,"17.66,5.03;17.66,5.03",17.662243,5.0343065,1.3438101,1.3651336,1,field,1738,,0,,20290445,detected_shot_handball,2184752,3027.0,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,true,player+time
sport,001874f0-85ab-11f0-be77-479e0b222c68,2025-08-30 16:09:53.639+02,goal,sevenMetrePenalty,,feace61d-3952-11ef-ae23-af5c55c3771d,0b8d9fff-7116-11f0-855d-b3abb2c3f080,,,,"{'feace61d-3952-11ef-ae23-af5c55c3771d': 2, 'fef51771-3952-11ef-97b4-af5c55c3771d': 4}",1.0,f4eb4800-85aa-11f0-be77-479e0b222c68,PT6M45S,true,,,,197bed20-3956-11ef-a6d2-1fafd93a56d6,,,,3027,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,SC DHfK Leipzig,Blær Hinriksson,Matija Spikic,,,1756562993639,1869448,2073299,2,2941.0,2025-08-30 14:09:56,1756562996580,385,6:42,"",2315,7.079451,27.490112,"-12.94,0.53;-12.94,0.53",-12.940452,0.5304756,-1.2711271,0.79488194,1,penalty,1839,,0,,20290626,detected_shot_handball,2073299,3027.0,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,true,player+time
sport,15d33371-85ab-11f0-be77-479e0b222c68,2025-08-30 16:10:30.095+02,goal,sixMetre,,fef51771-3952-11ef-97b4-af5c55c3771d,72b0904d-7112-11f0-85e4-bf080c617e35,,,,"{'feace61d-3952-11ef-ae23-af5c55c3771d': 2, 'fef51771-3952-11ef-97b4-af5c55c3771d': 4}",1.0,15d33370-85ab-11f0-be77-479e0b222c68,PT7M19S,false,81.03,27.86,BREAK_THROUGH,7497dd59-3954-11ef-89aa-bdf3bafad9bd,LEFT,SAVE,,3027,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,ThSV Eisenach,Oskar Joelsson,Domenico Ebner,,,1756563030095,1027241,1560176,1,686.0,2025-08-30 14:10:30,1756563030781,385,7:16,"",2320,6.6743174,26.595098,"16.48,-5.67;16.48,-5.67",16.477386,-5.669013,-2.9373715,0.4151964,0,field,1738,,2321,,20290691,detected_shot_handball,1560176,3027.0,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,true,player+time
sport,232fc381-85ab-11f0-be77-479e0b222c68,2025-08-30 16:10:52.512+02,goal,wing,,feace61d-3952-11ef-ae23-af5c55c3771d,502a73d1-3953-11ef-86c4-a9530db97767,,,,"{'feace61d-3952-11ef-ae23-af5c55c3771d': 3, 'fef51771-3952-11ef-97b4-af5c55c3771d': 4}",1.0,232fc380-85ab-11f0-be77-479e0b222c68,PT7M41S,true,7.87,91.88,,197bed20-3956-11ef-a6d2-1fafd93a56d6,LEFT,,,3027,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,SC DHfK Leipzig,Lukas Binder,Matija Spikic,,,1756563052512,1869448,868728,19,-384.0,2025-08-30 14:10:52,1756563052128,385,7:38,"",1817,5.141017,28.598238,"-16.74,3.97;-16.74,3.97",-16.73875,3.974205,0.049600065,0.1274677,1,field,1839,,0,,20290786,detected_shot_handball,EisenBall3,3027.0,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,true,time_only_fallback
sport,561ba701-85ab-11f0-be77-479e0b222c68,2025-08-30 16:12:17.944+02,goal,sixMetre,,fef51771-3952-11ef-97b4-af5c55c3771d,387a20e2-3955-11ef-a472-bfbfc9e17c09,,,,"{'feace61d-3952-11ef-ae23-af5c55c3771d': 3, 'fef51771-3952-11ef-97b4-af5c55c3771d': 4}",1.0,561ba700-85ab-11f0-be77-479e0b222c68,PT8M37S,false,75.87,57.56,,7497dd59-3954-11ef-89aa-bdf3bafad9bd,CENTRE,SHOT_BLOCKED,,3027,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,ThSV Eisenach,Max Beneke,Domenico Ebner,,,1756563137944,1027241,2060379,0,-1869.0,2025-08-30 14:12:16,1756563136075,385,8:29,"",2332,8.484672,16.862577,"11.66,1.55;11.66,1.55",11.657738,1.5480051,3.4477649,0.4008678,0,field,1738,,2320,,20290923,detected_shot_handball,2060379,3027.0,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,true,player+time
sport,5d0313f1-85ab-11f0-be77-479e0b222c68,2025-08-30 16:12:29.527+02,goal,sixMetre,,fef51771-3952-11ef-97b4-af5c55c3771d,59de589a-7111-11f0-b122-5b5b2ef5c7fa,,,,"{'feace61d-3952-11ef-ae23-af5c55c3771d': 3, 'fef51771-3952-11ef-97b4-af5c55c3771d': 4}",1.0,5d0313f0-85ab-11f0-be77-479e0b222c68,PT8M48S,false,81.56,27.86,BREAK_THROUGH,7497dd59-3954-11ef-89aa-bdf3bafad9bd,LEFT,SAVE,,3027,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,ThSV Eisenach,Felix Aellen,Domenico Ebner,,,1756563149527,1027241,1887206,1,434.0,2025-08-30 14:12:29,1756563149961,385,8:43,"",2321,6.4254627,29.414164,"14.88,-3.89;14.88,-3.89",14.882729,-3.8858852,-0.3150339,0.0008873896,0,field,1738,,2332,,20290948,detected_shot_handball,1887206,3027.0,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,true,player+time
sport,72af5381-85ab-11f0-be77-479e0b222c68,2025-08-30 16:12:44.204+02,goal,wing,,feace61d-3952-11ef-ae23-af5c55c3771d,502a73d1-3953-11ef-86c4-a9530db97767,,,,"{'feace61d-3952-11ef-ae23-af5c55c3771d': 4, 'fef51771-3952-11ef-97b4-af5c55c3771d': 4}",1.0,72af5380-85ab-11f0-be77-479e0b222c68,PT9M21S,true,8.74,92.07,,197bed20-3956-11ef-a6d2-1fafd93a56d6,LEFT,,,3027,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,SC DHfK Leipzig,Lukas Binder,Matija Spikic,,,1756563164204,1869448,868728,22,-14243.0,2025-08-30 14:12:29,1756563149961,385,8:43,"",2321,6.4254627,29.414164,"14.88,-3.89;14.88,-3.89",14.882729,-3.8858852,-0.3150339,0.0008873896,0,field,1738,,2332,,20290948,detected_shot_handball,1887206,3027.0,d236ce04-5ca5-11f0-b4f5-d5cc39e1dd13,true,time_only_fallback
