entity_id,name_full_local,name_full_latin,code_local,code_latin,external_id
0045fbc4-3953-11ef-a217-af5c55c3771d,Handball Sport Verein Hamburg,Handball Sport Verein Hamburg,HSV,HSV,127
febb3114-3952-11ef-b6f7-af5c55c3771d,TVB Stuttgart,TVB Stuttgart,TVB,TVB,17
fe8d1885-3952-11ef-9130-af5c55c3771d,HC Erlangen,HC Erlangen,HCE,HCE,6
fe88f93b-3952-11ef-aa5d-af5c55c3771d,SG Flensburg-Handewitt,SG Flensburg-Handewitt,SGF,SGF,5
fe9e91c7-3952-11ef-bd62-af5c55c3771d,GWD Minden,GWD Minden,GWD,GWD,10
fe73c376-3952-11ef-8a18-af5c55c3771d,HSG Wetzlar,HSG Wetzlar,WET,WET,1
fe99a935-3952-11ef-9dd4-af5c55c3771d,TBV Lemgo Lippe,TBV Lemgo Lippe,TBV,TBV,9
fef51771-3952-11ef-97b4-af5c55c3771d,ThSV Eisenach,ThSV Eisenach,EIS,EIS,32
fe7bdd16-3952-11ef-b585-af5c55c3771d,Füchse Berlin,Füchse Berlin,BER,BER,2
fea93a14-3952-11ef-a7e0-af5c55c3771d,TSV Hannover-Burgdorf,"",HAN,HAN,12
fe848316-3952-11ef-8185-af5c55c3771d,SC Magdeburg,SC Magdeburg,SCM,SCM,4
feace61d-3952-11ef-ae23-af5c55c3771d,SC DHfK Leipzig,SC DHfK Leipzig,LEI,LEI,13
feb41b46-3952-11ef-9df6-af5c55c3771d,MT Melsungen,MT Melsungen,MTM,MTM,15
fea4237d-3952-11ef-9fcd-af5c55c3771d,FRISCH AUF! Göppingen,FRISCH AUF! Göppingen,FAG,FAG,11
febf038e-3952-11ef-b7c2-af5c55c3771d,THW Kiel,THW Kiel,THW,THW,18
feb06aa9-3952-11ef-ada1-af5c55c3771d,Bergischer HC,Bergischer HC,BHC,BHC,14
fe911367-3952-11ef-9131-af5c55c3771d,VfL Gummersbach,VfL Gummersbach,GUM,GUM,7
fe80598a-3952-11ef-914c-af5c55c3771d,Rhein-Neckar Löwen,Rhein-Neckar Löwen,RNL,RNL,3
